"lng","lat","bioclim1","bioclim12","bioclim15","bioclim4","dist_to_water_m","elev_m","disease","theta"
120.8954154,14.9287503,272,2334,89,1051,226,18,"LF",0.0026968118861243
120.6454154,16.070417,272,1660,86,1093,472,74,"LF",0.00679127485364057
123.9204154,12.1287503,270,1915,41,858,1098,104,"LF",0.00233133790722283
124.1704154,8.0037503,238,2847,31,390,1135,924,"LF",0.184992810240531
123.2870821,10.945417,274,1985,43,755,1405,7,"LF",0.00136403105027524
122.5037488,10.745417,271,2095,65,724,3618,15,"LF",0.000833202455082444
121.0704154,14.695417,270,2503,89,1094,461,61,"LF",0.00290597883841825
121.0287488,14.4287503,272,1924,83,1078,2180,34,"LF",0.00169975019033794
121.5121096,12.6919469,274,2438,66,804,3156,13,"LF",0.000718226403910346
120.9370821,15.0287503,271,2364,84,1065,1274,24,"LF",0.00250413420171317
121.8287488,13.370417,273,2010,48,942,7478,15,"LF",0.000465872213658775
124.9954154,12.070417,257,3030,33,787,1104,225,"LF",0.00452819843429042
122.8620821,10.2037503,272,2387,62,661,1114,6,"LF",0.00139418247830796
124.6620821,11.0037503,261,2379,39,685,250,151,"LF",0.00424389352753563
121.2620821,14.1537503,268,2047,56,1029,3715,22,"LF",0.0010919503272158
121.9954154,10.9120837,272,3124,86,632,52,13,"LF",0.00113478216102344
120.5870821,15.4620836,272,2053,92,1043,2539,58,"LF",0.00340863424368869
123.0370821,7.8537503,265,2777,36,335,2529,49,"LF",0.00232263709053927
121.0287488,14.570417,272,2026,87,1084,503,8,"LF",0.00199805576825065
125.1204154,6.0037503,266,1170,25,352,482,29,"LF",0.00583146503886327
121.3870821,17.3287503,259,2132,54,1478,1044,212,"LF",0.0174331127767693
120.8370821,14.820417,273,2364,92,1050,1671,4,"LF",0.00191726553409639
